BTmag,e_Plx,e_DEdeg,e_RAdeg,pmDE,pmRA,Plx,Vmag,B-V,VTmag,V-I,Hpmag,e_B-V,e_V-I,r_Vmag,r_SpType,SpType
10.083,1.18,0.64,0.89,21.23,28.76,9.89,9.16,0.782,9.207,0.82,9.3116,0.02,0.01,1,2,1
8.644,0.99,0.53,0.77,-41.06,13.71,4.76,7.39,0.99,7.491,0.97,7.5557,0.01,0.01,1,3,1
9.22,0.99,0.51,0.8,2.14,47.03,4.79,7.78,1.123,7.897,1.09,7.9465,0.01,0.01,1,2,1
9.508,0.96,0.52,0.66,-1.29,-12.75,2.01,7.47,1.62,7.713,2.53,7.4864,0.015,0.05,1,7,1
9.641,0.95,0.71,0.71,-77.7,82.34,18.57,8.82,0.666,8.897,0.73,8.9574,0.016,0.01,1,0,0
10.611,1.46,0.89,1.25,-13.52,75.27,6.89,9.73,0.725,9.789,0.78,9.8664,0.03,0.02,1,1,0
8.638,0.72,0.56,0.5,9.09,4.88,4.25,7.36,0.993,7.481,0.97,7.5228,0.009,0.01,1,0,1
8.207,0.94,0.55,0.66,-6.32,12.18,0.47,8.47,-0.18,8.43,-0.19,8.4066,0.015,0.02,0,7,1
8.522,0.78,0.53,0.48,-1.82,8.82,4.25,6.99,1.187,7.117,1.15,7.1505,0.008,0.01,1,7,1
6.68,0.8,0.45,0.62,-6.51,42.59,8.75,5.55,0.901,5.646,0.87,5.7076,0.001,0.03,1,6,1
10.016,1.29,0.57,1.03,7.55,-10.35,1.87,8.6,1.1,8.722,1.06,8.7667,0.022,0.02,1,3,1
10.62,1.41,0.73,1.18,-178.78,-25.09,-0.26,9.66,0.787,9.701,0.82,9.7977,0.016,0.01,0,3,0
9.932,1.34,0.95,0.71,15.2,12.27,6.18,9.37,0.507,9.4,0.58,9.4799,0.016,0.02,1,0,0
8.221,0.92,0.49,0.55,-76.4,97.62,24.85,7.51,0.595,7.574,0.67,7.6375,0.008,0.01,1,7,0
9.693,0.94,0.73,0.76,11.68,-37.21,12.99,8.99,0.585,9.057,0.66,9.1141,0.017,0.02,1,0,0
10.321,1.14,0.66,0.96,-27.75,8.33,4.19,8.55,1.357,8.7,1.32,8.697,0.021,0.02,1,2,1
8.613,0.77,0.43,0.65,-4.69,-5.09,2.9,6.62,1.531,6.772,1.58,6.7361,0.011,0.02,1,7,1
8.923,0.82,0.48,0.66,-16.84,85.6,5.66,7.51,1.112,7.614,1.07,7.6749,0.011,0.01,1,7,1
10.578,0.83,0.72,0.69,2.06,19.96,1.8,8.51,1.576,8.68,1.59,8.6327,0.029,0.03,1,0,1
10.415,1.67,0.9,1.42,4.68,-61.52,13.05,9.67,0.633,9.714,0.7,9.8044,0.031,0.03,1,2,0
7.869,0.96,0.52,0.85,3.49,17.44,4.39,7.9,-0.03,7.916,-0.01,7.9031,0.003,0.0,0,2,0
10.342,1.65,0.87,1.32,-5.95,-14.53,5.66,9.82,0.418,9.923,0.48,9.9412,0.015,0.02,0,3,0
10.706,1.12,0.61,0.91,1.41,14.06,-0.16,8.57,1.612,8.805,2.43,8.6055,0.03,0.17,1,2,1
7.002,1.05,0.78,0.87,17.77,247.36,49.3,5.98,0.687,6.266,0.74,6.1061,0.0,0.0,0,6,0
8.343,1.67,1.41,1.4,17.19,36.94,5.38,7.92,0.459,7.861,0.53,8.0208,0.002,0.0,1,0,1
6.319,0.64,0.42,0.41,-39.94,575.21,39.0,5.7,0.519,5.763,0.58,5.8163,0.011,0.02,1,7,1
7.776,0.9,0.48,0.83,1.87,14.92,6.73,7.31,0.402,7.357,0.47,7.4051,0.003,0.0,1,3,1
9.086,0.91,0.53,0.58,0.52,79.25,8.11,8.35,0.624,8.423,0.69,8.4839,0.015,0.01,1,7,0
5.534,0.54,0.42,0.41,0.01,9.7,3.32,5.57,-0.023,5.564,0.0,5.5684,0.003,0.0,1,7,1
10.389,1.18,0.97,1.0,5.27,31.88,4.6,9.85,0.526,9.877,0.6,9.9842,0.015,0.02,0,0,0
10.485,1.78,0.81,1.4,-5.64,-3.08,-1.67,9.16,1.045,9.262,1.02,9.3302,0.034,0.03,1,3,1
9.831,1.56,0.75,1.44,8.2,19.98,3.91,9.35,0.41,9.369,0.48,9.444,0.015,0.02,0,3,0
7.947,0.79,0.43,0.64,-13.54,-8.29,5.13,6.68,0.986,6.799,0.97,6.8498,0.009,0.01,1,7,1
10.277,3.4,2.13,2.59,6.21,5.34,10.02,9.69,0.578,9.752,0.65,9.8195,0.003,0.0,0,1,0
7.008,0.75,0.43,0.65,-178.34,379.94,72.98,6.07,0.752,6.155,0.8,6.2093,0.003,0.0,1,7,0
9.048,0.87,0.51,0.67,-38.63,13.38,5.02,7.71,1.038,7.834,1.01,7.8793,0.009,0.01,1,2,1
9.19,1.12,0.62,0.96,-69.14,-25.68,5.61,8.56,0.548,8.606,0.62,8.676,0.009,0.01,0,3,0
9.188,0.97,0.55,0.88,2.69,40.61,6.36,8.72,0.41,8.78,0.48,8.8153,0.015,0.02,1,7,1
6.635,0.75,0.42,0.7,-47.09,97.3,25.59,6.19,0.386,6.23,0.45,6.275,0.007,0.01,1,3,1
